Label,Frame Index,Time Stamp,Confidence
bird,2004,66.80,0.44
bird,2005,66.83,0.43
bird,2006,66.87,0.37
bird,2007,66.90,0.37
bird,2008,66.93,0.42
bird,2009,66.97,0.46
bird,2010,67.00,0.48
bird,2011,67.03,0.44
bird,2012,67.07,0.48
bird,2013,67.10,0.45
bird,2014,67.13,0.47
bird,2015,67.17,0.47
bird,2016,67.20,0.53
bird,2017,67.23,0.59
bird,2018,67.27,0.47
bird,2019,67.30,0.48
bird,2020,67.33,0.54
bird,2021,67.37,0.61
bird,2022,67.40,0.44
bird,2023,67.43,0.41
bird,2024,67.47,0.50
bird,2025,67.50,0.53
bird,2026,67.53,0.38
bird,2027,67.57,0.54
bird,2028,67.60,0.44
